Title,Title_link,Thumbnail,propertyCard-moreInfoNumber,aria-announcer,propertyCard-secondaryPriceValue,propertyCard-img1,propertyCard-img2,propertyCard-address,property-information,propertyCard-link,propertyCard-branchSummary,propertyCard-branchLogo-image,propertyCard-contactsPhoneNumber,property-information1
£815 pcm,https://www.rightmove.co.uk/properties/133891604#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/118k/117484/133891604/117484_LND210457_L_IMG_00_0000_max_476x317.jpeg,1/8,Property image 1 of 8 showing Picture No. 01,£188 pw,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/118k/117484/133891604/117484_LND210457_L_IMG_07_0000_max_476x317.jpeg,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/118k/117484/133891604/117484_LND210457_L_IMG_01_0000_max_476x317.jpeg,"Northesk House, Tent Street, E1",Not Specified,Double Room in Flat Share- Whitechapel Rent is £815 per month INCLUDING ALL BILLS **ZERO DEPOSIT OPTION AVAILABLE** Brand New Flooring & Furniture Provided!!! Sharing with 2 Female Tenants The Flat comprises of four Large Double Roo...,"Added yesterday by Choices, Central London",https://media.rightmove.co.uk:443/dir/118k/117484/branch_rmchoice_logo_117484_0001_max_100x50.jpeg,020 3834 8368,
"£1,240 pcm",https://www.rightmove.co.uk/properties/133916501#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/157k/156386/133916501/156386_11955373_IMG_00_0000_max_476x317.jpeg,1/7,Property image 1 of 7 showing Photo 1,£286 pw,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/157k/156386/133916501/156386_11955373_IMG_06_0000_max_476x317.jpeg,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/157k/156386/133916501/156386_11955373_IMG_05_0000_max_476x317.jpeg,"Hosta House, Beaumont Road, E10",Apartment,"** L&Q ONLY ACCEPTS EMAIL ENQUIRIES FOR THIS APARTMENT, PLEASE KINDLY DO NOT CALL. ** This property is offered on the Intermediate Market Rent scheme and eligibility criteria will apply. L&Q are pleased to present this two bedroom, second floor apartment in Leyton. This apartme...","Added today by L&Q, London & Quadrant Housing Trust",https://media.rightmove.co.uk:443/dir/157k/156386/branch_rmchoice_logo_156386_0001_max_100x50.jpeg,020 3370 9512,1
"£1,745 pcm",https://www.rightmove.co.uk/properties/133889159#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76165/133889159/76165_gdbgbh_IMG_05_0000_max_476x317.jpeg,1/13,Property image 1 of 13,£403 pw,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76165/133889159/76165_gdbgbh_IMG_02_0000_max_476x317.jpeg,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76165/133889159/76165_gdbgbh_IMG_12_0000_max_476x317.jpeg,"Hill Road, London, CR4",Ground Flat,"We are pleased to present a newly renovated 2-bed ground floor flat with garden in Mitcham Area.*AVAILABLE NOW*The property benefits of a fully fitted open plan kitchen/dinning area, two double bedrooms and a family bathroom. Within minutes walk to shops, pubs, schools and transport links.","Reduced today by SW16, Streatham",https://media.rightmove.co.uk:443/dir/77k/76165/branch_rmchoice_logo_76165_0000_max_100x50.jpeg,020 3889 1315,
,,,,,,,,,,,,,,
"£1,600 pcm",https://www.rightmove.co.uk/properties/133915544#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65794/133915544/65794_32269955_IMG_00_0000_max_476x317.jpeg,1/5,,£369 pw,,,"Edge Hill, Wimbledon",Flat,A lower ground floor two double bedroom apartment with built in storage ideally located from both Wimbledon town centre and Wimbledon Village.,"Added today by Jacksons Estate Agents, Earlsfield",,020 8971 7070,1
"£1,650 pcm",https://www.rightmove.co.uk/properties/133597553#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246929/133597553/246929_LEE230104_L_IMG_00_0000_max_476x317.jpeg,1/10,,£381 pw,,,"Canadian Avenue, London, SE6",Flat,"*AVAILABLE NOW / NEWLY RENOVATED THROUGHOUT* WOW, WOW, WOW... This BEAUTIFUL 2 bedroom flat with its very own LARGE GARDEN is an extremely rare rental! PERFECT for a single professional, couple or small family with a pet looking for a LONG TERM home. Just a 10 mi...","Reduced today by Robinson Jackson, Lee",,020 3834 8564,1
"£1,699 pcm",https://www.rightmove.co.uk/properties/119375069#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11470/119375069/11470_0459_FJL045901584_IMG_00_0000_max_476x317.jpeg,1/12,,£392 pw,,,"Corbin House, Bow Road, E3",Flat,"**NO DEPOSIT OPTION AVAILABLE** Great Location - + VIDEO TOUR AVAILABLE + NEWLY REFURBISHED. Perfect for a couple or two friends to share. Offering a separate kitchen, lounge with wood flooring, two double bedrooms, bathroom and a seperate toilet. Residents Parking is available.","Added today by Felicity J Lord, Bow Lettings",,020 3834 7932,
"£1,750 pcm",https://www.rightmove.co.uk/properties/89713672#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/39k/38087/89713672/38087_STR0007426_IMG_00_0000_max_476x317.jpeg,1/10,,£404 pw,,,"Pryce House, Bow, E3",Flat,"W J Meade are delighted to offer this modern two bedroom modern apartment to rent in Pryce House on Campbell Road. Compromising two double bedrooms, two bathrooms, a stylish kitchen and spacious reception room with access to the private balcony. This property is moments away from Bow Ch...","Added today by W J Meade, Bow",,020 3892 9699,2
"£1,745 pcm",https://www.rightmove.co.uk/properties/131650997#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/33k/32535/131650997/32535_103318001641_IMG_05_0001_max_476x317.jpeg,1/6,,£403 pw,,,"East End Road, East Finchley N2",Flat,"Simon Clarke are pleased to present this 2 double bedroom 1st floor apartment situated in a sought after location. Offering great living space, the property benefits from a fitted kitchen, fully tiled bathroom, ample storage & access to a well maintained communal garden. Viewing highly advised.","Reduced today by Simon Clarke, Finchley",,020 3974 1902,1
"£1,700 pcm",https://www.rightmove.co.uk/properties/133903517#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/161k/160727/133903517/160727_1901_IMG_00_0000_max_476x317.jpeg,1/5,,£392 pw,,,"Eldon Park, South Norwood, SE25",Flat,"This is a fantastic opportunity to rent a TWO BEDROOM SPLIT LEVEL FIRST FLOOR FLAT. This property has TWO DOUBLE BEDROOMS, WELL PRESENTED SPACIOUS LOUNGE, THREE PIECE BATHROOM SUITE and a KITCHEN accessible via the Lounge.","Added yesterday by Key Property Consultants, Penge",,020 3907 6632,1
,,,,,,,,,,,,,,
"£1,700 pcm",https://www.rightmove.co.uk/properties/133861541#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/5k/4654/133861541/4654_ELM92B3AE_IMG_00_0000_max_476x317.jpeg,1/8,,£392 pw,,,"Elm Grove, London, NW2",Flat,"A freshly presented two bedroom ground floor apartment with patio garden area featuring newly fitted kitchen and newly fitted bathroom/w.c. plus new floor coverings The apartment is close to Cricklewood's Thameslink station, plus the bus services and retail outlets available on Cricklewood Broadway","Added yesterday by Callaway & Co, Cricklewood",,020 3869 0081,
"£1,750 pcm",https://www.rightmove.co.uk/properties/133898297#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/41k/40248/133898297/40248_NEW230060_L_IMG_00_0000_max_476x317.jpeg,1/11,,£404 pw,,,"St. German's Road, London, SE23",Apartment,Two genuine double Bedrooms | Spacious reception room / lounge | Fully Fitted Kitchen with space for dining | Modern Bathroom | Seperate W.C. | Private Garden | Communal Garden | Wooden floors | Period | Fantastic location | Forest Hill | Zone 3 |,"Added yesterday by Winkworth, Forest Hill & New Cross",,020 3879 5242,1
"£1,650 pcm",https://www.rightmove.co.uk/properties/133898198#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114391/133898198/114391_32267581_IMG_00_0000_max_476x317.jpeg,1/12,,£381 pw,,,"Acacia Road, Wood Green",Apartment,"A wonderfully bright and spacious two bedroom apartment, laid out over the top two floors of a modest, purpose-built development deep in the heart of Wood Green, with The Mall, restaurants and transport links close by.","Added yesterday by The Stow Brothers, Walthamstow",,020 3889 9166,1
"£1,600 pcm",https://www.rightmove.co.uk/properties/133898120#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/41k/40248/133898120/40248_NEW230036_L_IMG_00_0000_max_476x317.jpeg,2,,£369 pw,,,"Shorndean Street, London, SE6",Apartment,Newly Refurbished | Two genuine double bedrooms | Fully fitted kitchen with modern appliances | Spacious Open Plan Living kitchen area/ Reception | Modern Appliances throughout | Ample storage spaces | Bathroom with Shower Attached | Unfurnished | Off Street Parking | Available May 2023,"Added yesterday by Winkworth, Forest Hill & New Cross",,020 3879 5242,1
£800 pcm,https://www.rightmove.co.uk/properties/133897430#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103628/133897430/103628_WHYCH2023_IMG_00_0000_max_476x317.jpeg,1/6,,£185 pw,,,"Claremont Road, London, NW2",Flat,2 Bedroom Flat Brent Cross £800 PCM,"Added yesterday by Ad Hoc Property Management Ltd, London",,020 3869 3985,
