"Position","Address","Description","Price","Thumbnail","Thumbnail2","Thumbnail3","Thumbnail4","ListingUrl"
1,"East Dulwich Road, London SE22","Well presented two bed two bath second floor apartment located opposite Goose Green within short walking distance to Lordship Lane, and East Dulwich and Peckham Rye Train Stations. Comprising of two double bedrooms, two bathrooms, a large open plan kitchen-living space and a private balcony...","£2,000 pcm","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83579/133922030/83579_6192519_IMG_00_0000_max_476x317.jpeg",,,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83579/133922030/83579_6192519_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133922030#/?channel=RES_LET"
2,"Queen Victoria Terrace, Sovereign Court, Jewel Square, Wapping, London, E1W","2 bedroom flat available to rent in Sovereign Court, Wapping, E1W Managed by Knight Frank, comes this modern 2 bedroom apartment available for rent. The apartments has been finished to a high standard with; modern bathroom, fully integrated kitchen, under floor heating and storage space. This pr...","£1,950 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65911/134007989/65911_WAQ012360956_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65911/134007989/65911_WAQ012360956_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65911/134007989/65911_WAQ012360956_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/134007989#/?channel=RES_LET"
3,"Brighton Road, London, N16","This immaculate, newly refurbished two bedroom split level maisonette is set in a converted Victorian house, with many period features including original fire place. With an uncompromising approach to the refurbishment and decoration the accommodation comprises a larger than average r...","£2,000 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74963/104639189/74963_HAC180119_L_IMG_00_0001_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74963/104639189/74963_HAC180119_L_IMG_00_0001_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74963/104639189/74963_HAC180119_L_IMG_00_0001_max_476x317.jpeg","https://www.rightmove.co.uk/properties/104639189#/?channel=RES_LET"
4,"Cadnam Lodge, London, E14","No agency, private landlord, previous tenants’ references available upon request.A light and airy two double bedroom apartment on the third floor of this low-rise development on a private cul-de-s... ** Property Reference: 1671520 **","£1,750 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/134007443/96668_167152004042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/134007443/96668_167152004042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/134007443/96668_167152004042023_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/134007443#/?channel=RES_LET"
5,"Queen Victoria Terrace, Sovereign Court, Wapping","ea2 are pleased to offer for rent this stunning 2 double bedroom apartment on the 2nd floor of a newly refurbished development on the top of Wapping Lane and near the Tobacco Dock, Sovereign Court. Available 28/04. Parking available at £25 p/week. The apartment is finished to a high standard with...","£1,950 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10387/134007431/10387_30928488_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10387/134007431/10387_30928488_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10387/134007431/10387_30928488_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/134007431#/?channel=RES_LET"
6,"Balham Park Road, Balham, SW12","Lauristons are delighted to present this spacious period two-bedroom apartment in central Balham. This lovely property boasts a large and bright living room, two good size double bedroom, a separate fully fitted kitchen and a tiled bathroom. The property benefits from double-glazed win...","£1,700 pcm","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89333/134005916/89333_LBA180565_L_IMG_00_0000_max_476x317.jpeg",,,,"https://www.rightmove.co.uk/properties/134005916#/?channel=RES_LET"
7,"George Lane, London, SE13","Looking for a spacious and bright flat to rent? Look no further than this recently refurbished gem with 2 spacious double bedrooms in Hither Green Featuring a modern kitchen and bathroom that were... ** Property Reference: 1687483 **","£1,850 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/134003237/96668_168748323042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/134003237/96668_168748323042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/134003237/96668_168748323042023_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/134003237#/?channel=RES_LET"
8,"Gerry Raffles Square, London, E15","Stylish 2bed 2bath flat located 5min walk from Stratford station (Central, Jubilee, Elizabeth, DLR, overground, and rail). <10min to Liverpool street or Canary Wharf. 6min high speed train to K... ** Property Reference: 1680977 **","£1,900 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/134002199/96668_168097716042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/134002199/96668_168097716042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/134002199/96668_168097716042023_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/134002199#/?channel=RES_LET"
9,"Barclay Road, E11","**NO DEPOSIT OPTION AVAILABLE** ***NO DEPOSIT OPTION IS AVAILABLE*** - IDEAL PROPERTY FOR FAMILY","£1,600 pcm",,,,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105353/134001827/105353_0456_HRT045600654_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/134001827#/?channel=RES_LET"
10,"Sandwich House, London, WC1H","Sinclair House - Sandwich Street - London WC1H Flat with Spectacular ROOF TERRACE === Available from 1 August 2023 == A modern second floor flat in Sandwich House, Sandwich Street. Available f... ** Property Reference: 1687410 **","£1,975 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/134000720/96668_168741023042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/134000720/96668_168741023042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/134000720/96668_168741023042023_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/134000720#/?channel=RES_LET"
11,"Sydney Road, Abbey Wood, SE2","This stunning two bedroom apartment has been recently renovated and is located on Sydney Road. Offering 1,063 Sq. Ft of internal space, the property has been modernised and offers an abundance of natural light throughout. Comprising a bright, spacious living space with skylight and a st...","£1,850 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181718/134000510/181718_32273647_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181718/134000510/181718_32273647_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181718/134000510/181718_32273647_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/134000510#/?channel=RES_LET"
12,"Moremead Road, London, SE6","Lower Sydenham 2 bedroom first floor maisonette for rent immediately with own garden (Moremead Road SE6) - 5 minute walk to Lower Sydenham Station with direct connections to London Bridge, Chari... ** Property Reference: 1681046 **","£1,450 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133999802/96668_168104616042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133999802/96668_168104616042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133999802/96668_168104616042023_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133999802#/?channel=RES_LET"
13,"Dalton House, London, SW12","This beautifully presented, recently refurbished 2-bedroom flat is on the 2nd floor of an art deco style building, Dalton House. It is ideally located between Clapham South and Balham stations. Th... ** Property Reference: 1687296 **","£2,000 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133999787/96668_168729623042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133999787/96668_168729623042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133999787/96668_168729623042023_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133999787#/?channel=RES_LET"
14,"Church Road,Hanwell,W7","We are pleased to offer this recently renovated two bedroom flat with garden in Hanwell. The property is located on a lower ground floor. Comprises of one double and one single bedroom, open plan kitchen living area and bathroom with a cubic shower. Further benefits including wooden flooring...","£1,750 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/163k/162716/133082210/162716_538_IMG_11_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/163k/162716/133082210/162716_538_IMG_11_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/163k/162716/133082210/162716_538_IMG_11_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133082210#/?channel=RES_LET"
